wage,exper,union,goodhlth,black,female,married,service,educ,looks,Cluster_Hierarchical,Cluster_KMeans
5.73,30,0,1,0,1,1,1,14,4,1,0
4.28,28,0,1,0,1,1,0,12,3,1,0
7.96,35,0,1,0,1,0,0,10,4,1,0
11.57,38,0,1,0,0,1,1,16,3,0,1
11.42,27,0,1,0,0,1,0,16,3,0,1
3.91,20,0,0,0,1,1,0,12,3,1,0
8.76,12,0,1,0,0,1,0,16,3,0,1
7.69,5,1,1,0,0,0,0,16,4,0,1
5.0,5,0,1,0,1,0,0,16,3,1,0
3.89,12,0,1,0,1,0,0,12,3,1,0
3.45,3,0,1,0,1,0,0,12,4,1,0
4.03,6,0,1,0,0,1,0,16,4,0,1
5.14,19,0,1,0,0,1,1,17,2,0,1
3.0,8,0,1,0,0,0,1,16,3,0,1
7.99,12,0,1,0,0,1,0,16,4,0,1
6.01,17,0,1,0,0,1,0,16,4,0,1
5.16,7,0,1,0,0,1,0,17,3,0,1
11.54,12,0,1,0,0,1,1,17,4,0,1
10.44,10,0,1,0,1,0,0,17,4,1,0
7.69,7,0,1,0,1,1,1,16,3,1,0
7.69,7,1,1,0,0,0,0,17,4,0,1
6.79,19,0,1,0,0,1,1,14,3,0,1
6.87,33,0,1,0,0,1,1,12,3,0,1
17.03,32,0,1,0,0,1,0,13,3,0,1
10.05,12,0,1,0,0,1,0,13,4,0,1
15.81,24,0,1,0,0,1,1,17,4,0,1
14.84,29,0,1,0,0,0,1,13,5,0,1
19.08,17,0,1,0,0,0,0,17,5,0,1
8.35,41,0,0,0,0,1,1,16,1,0,1
9.62,40,0,0,0,0,1,0,16,3,0,1
5.96,10,0,1,0,0,1,0,14,3,0,1
5.73,43,0,0,0,0,1,0,10,3,0,1
6.73,41,0,1,0,0,1,0,10,4,0,1
8.17,18,0,1,0,0,1,0,16,2,0,1
12.39,28,0,1,0,0,1,0,12,4,0,1
9.62,37,0,1,0,0,1,0,13,2,0,1
4.83,20,0,1,1,0,1,0,16,4,0,1
7.69,10,1,1,0,0,1,0,13,2,0,1
12.5,31,0,1,0,0,1,0,16,3,0,1
2.82,18,0,1,0,0,1,1,12,3,0,1
12.31,9,1,1,0,0,0,0,17,3,0,1
13.22,42,0,1,0,0,1,0,16,3,0,1
16.83,14,0,1,0,0,1,0,16,4,0,1
11.54,27,0,1,0,0,1,0,16,3,0,1
4.95,20,0,1,1,1,0,1,14,3,1,0
7.21,14,0,1,0,0,1,0,17,3,0,1
11.58,4,0,1,0,0,1,0,17,3,0,1
15.38,13,0,1,0,0,1,0,17,3,0,1
6.1,5,0,1,0,0,1,1,17,3,0,1
7.93,32,0,1,0,0,1,1,17,3,0,1
9.16,19,1,1,0,1,1,1,17,4,1,0
6.91,14,0,1,0,1,0,1,17,4,1,0
20.18,28,0,1,0,0,1,1,17,3,0,1
9.93,31,1,1,0,0,1,0,17,3,0,1
7.79,18,0,1,0,0,1,0,13,4,0,1
5.13,23,0,1,0,0,1,1,5,3,0,1
10.99,14,0,1,0,0,1,0,16,4,0,1
6.56,17,0,1,0,0,1,0,13,2,0,1
10.1,16,0,1,0,0,1,0,13,3,0,1
10.74,19,0,1,0,0,1,0,16,3,0,1
16.35,26,0,1,0,0,1,0,17,3,0,1
4.62,20,0,1,0,1,1,1,12,4,1,0
7.49,18,0,1,0,0,1,0,17,3,0,1
19.23,35,0,1,0,0,1,0,17,3,0,1
4.77,9,0,1,0,1,0,1,17,4,1,0
7.14,20,0,1,0,1,0,1,17,2,1,0
14.42,7,0,1,0,0,1,1,17,4,0,1
9.28,40,0,1,0,0,0,1,17,4,0,1
29.98,12,0,1,0,0,1,1,17,3,0,1
32.79,33,0,1,0,0,1,1,16,4,0,1
9.62,16,0,1,0,0,1,0,16,3,0,1
8.36,15,0,1,0,1,1,0,16,3,1,0
21.63,11,0,1,0,0,1,1,17,3,0,1
15.9,24,0,1,0,0,1,1,17,4,0,1
5.77,6,0,1,0,0,1,1,17,2,0,1
20.99,40,0,1,0,0,1,1,17,2,0,1
23.32,15,0,1,0,0,1,1,17,5,0,1
4.97,9,0,1,0,0,1,1,17,4,0,1
6.89,16,0,1,0,0,1,0,17,2,0,1
5.73,12,0,1,0,1,0,1,13,2,1,0
5.19,8,0,1,0,0,1,1,17,3,0,1
7.79,25,1,1,0,1,0,1,17,3,1,0
8.79,24,1,1,0,1,1,1,16,3,1,0
9.32,25,1,1,0,1,0,0,17,4,1,0
8.33,7,0,1,0,1,0,1,17,4,1,0
10.12,40,0,1,1,1,0,1,10,3,1,0
1.98,29,0,0,0,1,0,1,8,3,1,0
8.24,13,0,1,0,1,1,1,17,4,1,0
5.05,5,0,1,0,1,0,1,14,4,1,0
6.55,10,0,1,0,1,1,0,16,3,1,0
4.47,25,1,1,0,0,1,1,13,3,0,1
7.96,10,0,1,0,1,1,1,16,3,1,0
6.25,20,0,1,0,0,0,1,17,2,0,1
4.13,7,0,1,0,0,0,0,16,3,0,1
6.73,25,0,1,0,1,1,1,13,2,1,0
7.69,8,0,1,0,1,0,1,17,3,1,0
4.35,8,0,1,0,1,1,1,14,2,1,0
7.69,28,0,1,0,0,1,0,14,3,0,1
4.81,37,0,1,0,0,1,1,16,2,0,1
5.24,31,0,1,0,0,1,1,17,3,0,1
2.14,24,0,1,0,0,1,1,16,4,0,1
4.49,33,0,1,0,0,1,1,17,4,0,1
3.61,8,0,1,0,0,1,1,17,4,0,1
5.45,33,0,1,0,0,1,1,17,3,0,1
5.0,30,0,1,0,0,1,1,17,3,0,1
6.73,23,0,1,0,0,1,1,17,3,0,1
10.05,24,0,1,0,0,1,0,16,3,0,1
6.54,4,0,1,0,0,1,0,17,4,0,1
9.2,40,0,1,0,1,0,1,17,3,1,0
4.62,1,0,1,0,1,0,1,16,3,1,0
3.37,36,0,1,1,1,0,1,13,3,1,0
5.54,7,0,1,0,1,0,1,17,4,1,0
6.11,7,0,1,0,1,1,0,12,5,1,0
4.99,14,0,1,0,1,0,1,13,3,1,0
5.88,7,0,1,0,1,1,1,17,3,1,0
5.66,11,1,1,0,1,0,1,16,4,1,0
4.0,6,0,1,0,0,1,1,16,3,0,1
6.87,23,0,1,0,1,1,1,16,3,1,0
